text,Irrelevant to Covid-19 vaccination intention and confidence,Intent to accept Covid-19 vaccination,Intent to reject Covid-19 vaccination,Belief that Covid-19 vaccine is effective,Belief that Covid-19 vaccine is not safe,Confidence in Covid-19 vaccine R&D and introduction,Distrust in government,Misinformation or rumors on vaccines
"QT: SAAAAAI LOGO ; NEWUKs #COVID19 vaccine is safe and induces an immune reaction, according to preliminary results",0,1,0,1,0,1,0,0
"QT: Hi John if I was offered a vaccine now I would refuse it. Vaccines take years to develop. These vaccines must surely be experimental at this stage? ; I think anyone who refuses a #coronavirus vaccine, if and when it becomes available, must either accept that they are responsible for their health costs, if they get the virus or be compelled to go into quarantine exile, and be placed in something like a leper colony of old.",0,0,1,0,0,0,0,0
"QT: Lmao what Why are we always experiments ... ; A COVID-19 vaccine will only work if trials include Black participants, experts say.",0,0,1,0,0,0,0,0
"QT: Masks, distancing, washing hands, avoiding indoor crowding: Together we can change the course of the US pandemic. ; Op-Ed: We can't afford to wait for a COVID-19 vaccine to save us",0,0,0,0,0,0,0,0
Covid-19 vaccine #funny #instagram #artwork #pencildrawing #pencilsketches #pencilart #pencilsketch #pencil #dailyupdate #facebook #twitter #run,1,0,0,0,0,0,0,0
"Coronavirus vaccine trials in UK and China produce immune response: Two coronavirus vaccine candidates have proven safe for humans and produced strong immune reactions among patients involved in separate clinical trials,  #DefenceForeignPolicy #World",1,0,0,0,0,0,0,0
The Virus and the Vaccine   Beautiful interactive article explaining the race and approaches towards a COVID-19 vaccine,1,0,0,0,0,0,0,0
Iran to Test Human Phase of Coronavirus Vaccine in 2 Months,1,0,0,0,0,0,0,0
The line is forming for a COVID-19 vaccine. Who should be at the front?,0,1,0,0,0,0,0,0
"Highlights from Bill Gates' CBS interview on return to school, COVID-19 vaccine conspiracies, more - GeekWire",1,0,0,0,0,0,0,0
"I wonder where them anti vaxxers group will hide when COVID-19 vaccines come out? I guess to the same place where anti LGBTQ+, fascist, communist, racist, anti atheist, etc... hide.",0,1,0,0,0,1,0,1
Waiting for Chris Grayling to announce a ?500million government loan to Wetherspoons to produce a covid vaccine,0,0,0,0,0,0,1,0
"QT: N?o tomem a vacina da China e Gates...  tome a HCQ e AZT do presidente..... #BolsonaroTemRazao ; Bill Gates says the Flu Vaccine isn't very effective in elderly people and watch him smile as he says there will be 700,000 people who will suffer from the #COVID19 Vaccine! #NoVaccine #CrimesAgainstHumanity",0,0,1,0,0,0,0,1
"U.S. Pledges Up to $2.1 Billion for Sanofi, GlaxoSmithKline Covid Vaccine",1,0,0,0,0,0,0,0
"QT: Suddenly my ?9k a year fees to Oxford seem like a good deal ; Coronavirus vaccine developed by Oxford University appears safe and trains the immune system, key early trials show",0,1,0,1,0,1,0,0
"¡ã The average times of the fastest sprinters in the 100-metre dash are in the ballpark of 10 seconds. So, what would you think if someone promised to run the race in one second?¡À Fast COVID-19 vaccine timelines are unrealistic",0,0,0,0,0,0,0,0
Coronavirus vaccine update: Dexamethasone proves first life-saving drug,1,0,0,0,0,0,0,0
"QT:  We are still in the FIRST WAVE of the #COVID19 #CORONAVIRUS #PANDEMIC Thousands of People continue to DIE of #COVID19 Every Day  There is NO #Vaccine for #COVID19  There is NO viable Preventative Treatments for #COVID19 ; The World Health Organization hopes hundreds of millions of doses of a coronavirus vaccine will be produced this year, should any currently in clinical trials prove to be effective",0,0,0,0,0,0,0,0
"QT: RT: He forgot to mention pedophile protector, as someone who prevented prosecution of Jimmy Savile. #elitepedophiles ; He would but them he's a Gates supporting Globalist #NWO Trilateralist Pathologists in Italy prevented by Gates controlled WHO from completing Post Mortems on Patients recorded as Covid deaths that were given the H1N1 Vaccine Flu Vaccine or Covid19 Vaccine by deception ?",0,0,0,0,0,0,1,1
"QT: Read to understand why ICMR is being criticised. ; As the ICMR ties itself in knots trying to appease its political boss with a speedy COVID vaccine promise but also not ruining its standing with the scientific community, our editorial on the organisation could not have been better timed.  via",0,0,0,0,0,0,0,0
Oh FFS Brexit and Coronavirus now teaming up to make things worse. UK could be locked out of EU coronavirus vaccine scheme after refusing to pay,0,1,0,0,0,0,0,0
I'm sure many more organisations out there are working on the cure. RT: #Dexamethasone lowers deaths by one-third in severe Covid-19 patients: Study Here are updates on coronavirus vaccine/drug development: #COVID19 #vaccine,1,0,0,0,0,0,0,0
QT: Blackface your Mum and send her along. Let me know how it goes babes ; BREAKING: Black and minority ethnic groups could be among first to get coronavirus vaccine,0,0,0,0,0,0,0,0
"The world has dreamed about a Covid vaccine. But, even when it comes, there are big questions over how it can reach the world (via &) ",0,0,0,0,0,0,0,0
The Department of Health and Human Services has invited NACDS president and CEO Steve Anderson to provide insight and expertise to a new COVID-19 vaccine consultation panel.,1,0,0,0,0,0,0,0
"QT: I love seeing Dr Fauci spreading the truth on nearly every platform I find...linked in, FB now pbs... ; Dr. Anthony Fauci tells he's cautiously optimistic that by the end of this calendar year and the beginning of 2021, there will be one or more coronavirus vaccines.",0,1,0,0,0,1,0,0
"read: Guaranteed Ingredient in Any Coronavirus Vaccine? Thousands of Volunteers , see more",1,0,0,0,0,0,0,0
QT: Norbu kabhi toh happy news de bhai. ; Russia's COVID-19 vaccine candidate: - 38 people were vaccinated - No mention of what phase completed - No mention of further phases - No published study But media outlets: 'Russia becomes first nation to develop COVID-19 vaccine.',0,0,0,0,0,0,0,0
Opinion | Investment in child care cant wait until theres a coronavirus vaccine,1,0,0,0,0,0,0,0
"QT: The recent #COVID19 #vaccine news reminded me of an excellent thread by earlier this month on the psychology of vaccine hesitancy. Developing a safe & effective vaccine is only the first step in a vaccination program, looking forward to more discussions on this! ; There is a narrative starting to form around the upcoming COVID-19 vaccine that has me concerned. It involves the story that academics and journalists write, and always seem to write, when we talk about vaccine uptake. 1/10",0,1,0,0,0,1,0,1
"Trump praises Operation Warp Speed that helped accelerate coronavirus vaccine development  #fcFOX #fcTech via FOX BIZ Industries July 27, 2020 at 09:05PM",1,0,0,0,0,0,0,0
GPs look set to be among those targeted first if scientists succeed in their efforts to develop a viable Covid-19 vaccine. Read more:,1,0,0,0,0,0,0,0
"QT: This all sounds a little too familiar! ; Well develop a world beating app on our own  UK has opted out of EU coronavirus vaccine programme, sources say | Coronavirus outbreak | The Guardian",1,0,0,0,0,0,0,0
The US Food and Drug Administration has granted two of Pfizer and partner BioNTechs experimental coronavirus vaccine candidates 'fast track' status,1,0,0,0,0,0,0,0
OMG!!! EXPOSED COVID-19 VACCINE CONTENT | setrosvlog  via #Vaccines #MyBodyMyChoice #MyBodyMyRules #VaccineInjuries #Autism #GMO #5G #Patents #HumanPatents #MKUltra #CoronaVirus #CoronaVirusHoax #COVID`19 #COVID19 #COVIDIOTS #TransHumanism,0,0,1,0,1,0,0,1
"Opinion: Even without a Covid-19 vaccine, there's reason for hope - CNN",1,0,0,0,0,0,0,0
When the Covid vaccine come out somebody daughter need to take me on a date,0,1,0,1,0,0,0,0
